technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
Alkaline electrolyzer large size,,,,0.0,,2.8,,,0.3033,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.38,,0.0,,,,,,544.7764,40.0,,,,,,,,,,,,,,,,,0.3033,56.116947842665475
Alkaline electrolyzer medium size,,,,0.0,,2.3,,,0.3033,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.416,,0.0,,,,,,642.553,20.0,,,,,,,,,,,,,,,,,0.3033,75.43117661510615
Alkaline electrolyzer small size,,,,0.0,,2.3,,,0.2455,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.41,,0.0,,,,,,740.1853,20.0,,,,,,,,,,,,,,,,,0.2455,86.89251795914942
Ammonia cracker,,,,0.0,,4.3,,,0.0,1.46,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1418766.8215,25.0,,,,,,,,,,,,,,,,,0.0,182752.08809293478
BEV Bus city,,,,0.0,,0.0003,346.5517,,0.1197,,,,,,,,,,,,,,0.07,,,,0.8585,,,,,,,,,0.0,,,,,,279738.9,12.0,,,,,,,,,,,,,,,,,0.1197,35220.523030867895
BEV Coach,,,,0.0,,0.0002,358.6207,,0.1197,,,,,,,,,,,,,,0.07,,,,0.8446,,,,,,,,,0.0,,,,,,381004.3818,12.0,,,,,,,,,,,,,,,,,0.1197,47969.97136366027
BEV Truck Semi-Trailer max 50 tons,,,,0.0,,0.0004,555.1724,,0.1197,,,,,,,,,,,,,,0.07,,,,1.3936,,,,,,,,,0.0,,,,,,190126.4629,10.5,,,,,,,,,,,,,,,,,0.1197,26170.430609300234
BEV Truck Solo max 26 tons,,,,0.0,,0.0002,382.7586,,0.1197,,,,,,,,,,,,,,0.07,,,,0.8755,,,,,,,,,0.0,,,,,,355094.772,13.8,,,,,,,,,,,,,,,,,0.1197,40957.481637631274
BEV Truck Trailer max 56 tons,,,,0.0,,0.0003,710.3448,,0.1197,,,,,,,,,,,,,,0.07,,,,1.5446,,,,,,,,,0.0,,,,,,210883.6844,13.8,,,,,,,,,,,,,,,,,0.1197,24324.040217586924
Battery electric (passenger cars),,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,0.68,,,,,,,,,0.0,,,,,,30960.6072,15.0,,,,,,,,,,,,,,,,,0.0,3677.9537128392794
Battery electric (trucks),,,,0.0,,15.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,171500.4396,15.0,,,,,,,,,,,,,,,,,0.0,44554.89234193963
BioSNG,,0.3402,0.6598,0.0,0.2419,1.6375,,,2.273,,,,,0.9,,,,,,,,,0.07,,,,0.63,,,,,,,,,0.0,,,,,,2139.2794,25.0,,,,,,,,,,,,,,,,,2.273,218.60337196851518
BtL,,0.2688,0.7312,0.0,0.2681,2.6667,,,1.4207,,,,,0.9,,,,,,,,,0.07,,,,0.3833,,,,,,,,,0.0,,,,,,3928.6362,25.0,,,,,,,,,,,,,,,,,1.4207,441.88324583923026
CCGT,,,,0.198,,3.3494,,,5.6104,,2.0,0.15,,,,,,,,,,,0.07,,,,0.58,,,,,,,,,28.4158,,,,,,1108.7166,25.0,,,,,,,,,,,,,,,,,54.60315862068966,132.2748986975378
CH4 (g) fill compressor station,,,,0.0,,1.7,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2080.8385,20.0,,,,,,,,,,,,,,,,,0.0,231.7906885142075
