,load,onwind,offwind,solar,prices
2015-01-01 00:00:00,41151.0,0.1566,0.703,0.0,
2015-01-01 04:00:00,38941.0,0.1826,0.7272,0.0,
2015-01-01 08:00:00,42963.0,0.2281,0.7828,0.0442,
2015-01-01 12:00:00,47164.0,0.2384,0.8244,0.2074,
2015-01-01 16:00:00,53410.0,0.3828,0.9022,0.0,
2015-01-01 20:00:00,48730.0,0.5201,0.9727,0.0,
2015-01-02 00:00:00,40577.0,0.6391,0.9823,0.0,
2015-01-02 04:00:00,42382.0,0.7704,0.9851,0.0,
2015-01-02 08:00:00,56505.0,0.7918,0.9844,0.0197,
2015-01-02 12:00:00,58564.0,0.7435,0.9832,0.1104,
2015-01-02 16:00:00,61605.0,0.7368,0.9795,0.0,
2015-01-02 20:00:00,53186.0,0.7246,0.977,0.0,
2015-01-03 00:00:00,38338.0,0.713,0.9742,0.0,
2015-01-03 04:00:00,36839.0,0.5138,0.9573,0.0,
2015-01-03 08:00:00,47421.0,0.541,0.9554,0.0193,
2015-01-03 12:00:00,52147.0,0.5024,0.8144,0.0718,
2015-01-03 16:00:00,55854.0,0.3807,0.7757,0.0,
2015-01-03 20:00:00,48359.0,0.3939,0.8562,0.0,
2015-01-04 00:00:00,38517.0,0.4867,0.8251,0.0,
2015-01-04 04:00:00,36336.0,0.4778,0.7635,0.0,
2015-01-04 08:00:00,43899.0,0.442,0.7305,0.0526,
2015-01-04 12:00:00,48824.0,0.4459,0.6235,0.1633,
2015-01-04 16:00:00,53400.0,0.3993,0.4919,0.0,
2015-01-04 20:00:00,48877.0,0.2732,0.4905,0.0,
2015-01-05 00:00:00,40699.0,0.2382,0.5741,0.0,22.34
2015-01-05 04:00:00,43931.0,0.288,0.478,0.0,17.38
2015-01-05 08:00:00,61179.0,0.3308,0.3484,0.0611,39.09
2015-01-05 12:00:00,62108.0,0.2527,0.2761,0.181,40.72
2015-01-05 16:00:00,65129.99999999999,0.1342,0.136,0.0,46.7
2015-01-05 20:00:00,56346.0,0.0712,0.122,0.0,44.32
2015-01-06 00:00:00,45011.0,0.0396,0.1687,0.0,30.02
2015-01-06 04:00:00,46416.0,0.038,0.2502,0.0,30.63
2015-01-06 08:00:00,59295.0,0.0848,0.3268,0.0532,40.76
2015-01-06 12:00:00,60697.0,0.0942,0.3703,0.1833,30.06
2015-01-06 16:00:00,63969.0,0.2382,0.5082,0.0,40.32
2015-01-06 20:00:00,57114.0,0.2312,0.4455,0.0,32.92
